texto,diagnostico
dor muscular tremores perda de reflexos,Esclerose Lateral
febre rash pálido,Lúpus
dor muscular tremedeira fraqueza disartria perda de reflexos,Esclerose Lateral
vista embaçada fraqueza fadiga disartria visão dupla dificuldade para engolir,Miastenia Gravis
exaustão febre manchas pele confusao,Febre Maculosa
artralgia manchas na pele fotofobia fadiga temp alta fraqueza urticária,Lúpus
dificuldade falar visao turva exaustao fraqueza visão dupla dificuldade para engolir,Miastenia Gravis
manchas pele febre dor muscular,Doença de Lyme
artralgia febre manchas na pele cansaco confusao,Doença de Lyme
confusão manchas pele dor muscular tremores,Febre Maculosa
dor muscular dificuldade falar astenia tremedeira fadiga,Esclerose Lateral
dor musculo cansaço desorientacao dores articulares,Febre Maculosa
fadiga fala arrastada visão turva dificuldade para engolir,Miastenia Gravis
debilidade dificuldade falar cansaco visão turva,Miastenia Gravis
artralgia fadiga erupção fraqueza dor muscular,Doença de Lyme
dor muscular tremor rigidez muscular fadiga tremor dor muscular,Esclerose Lateral
rash dores articulares hipertermia cansaco urticária calvície,Lúpus
fraqueza dores articulares,Fibromialgia
tremedeira mialgia astenia rigidez muscular,Esclerose Lateral
hipertermia exaustão,Febre Maculosa
dor articular fadiga,Lúpus
febre dor muscular desorientacao cansaço rash,Febre Maculosa
emagrecimento febre,Doença de Crohn
erupção dor muscular debilidade,Febre Maculosa
dor articular manchas na pele fadiga,Doença de Lyme
perda de peso cansaço pálido hipotensão hiperpigmentação,Doença de Addison
fala lenta fraqueza dor musculo perda de reflexos rigidez muscular,Esclerose Lateral
dor musculo febre erupção confusão dor articular,Febre Maculosa
dor musculo debilidade tremedeira disartria rigidez muscular,Esclerose Lateral
dor na barriga fadiga fadiga dor na barriga,Doença de Crohn
fala lenta dor muscular,Esclerose Lateral
fadiga perda peso febr,Doença de Crohn
rash cansaço dor muscular desorientação febr fraqueza dores articulares,Febre Maculosa
fraqueza tremores,Esclerose Lateral
fadiga dor articular erupção fotofobia urticária palidez,Lúpus
febr dor articular,Doença de Lyme
fadiga sensibilidade à luz palido astenia,Lúpus
cansaço fala lenta visão turva fraqueza,Miastenia Gravis
artralgia exaustão urticaria,Lúpus
fala arrastada debilidade visão embaçada fadiga,Miastenia Gravis
pressao baixa palidez exaustao perda peso,Doença de Addison
febre peso baixo dor estomago debilidade,Doença de Crohn
erupção hipertermia exaustão artralgia desorientacao,Doença de Lyme
exaustao mialgia desorientação dores articulares debilidade,Febre Maculosa
perda de peso dor na barriga azia fraqueza,Doença de Crohn
erupção temperatura exaustao dor nas juntas debilidade,Doença de Lyme
hipotensao palido hiperpigmentação,Doença de Addison
hipertermia artralgia manchas na pele fotofobia fadiga urticária,Lúpus
febre fadiga fraqueza,Doença de Crohn
exaustão fraqueza alteração de humor,Fibromialgia
cansaco palidez emagrecimento hiperpigmentação astenia,Doença de Addison
hipertermia fadiga,Doença de Crohn
emagrecimento fadiga refluxo gastrico,Doença de Crohn
perda de peso febre fadiga dor na barriga,Doença de Crohn
fraqueza dores articulares dores crônicas alteração de humor,Fibromialgia
perda de peso febre fadiga dor abdominal,Doença de Crohn
fotofobia febre exaustao artralgia queda de cabelo,Lúpus
debilidade dores articulares,Fibromialgia
palido pressao baixa,Doença de Addison
palidez exaustão emagrecimento hipotensão sensação de frio,Doença de Addison
cansaço pressão baixa pálido perda de peso fraqueza sensação de frio,Doença de Addison
fadiga rash dores articulares confusão dor muscular,Doença de Lyme
visão embaçada dificuldade falar dificuldade para engolir visão dupla,Miastenia Gravis
dor musculo tremedeira,Esclerose Lateral
dor muscular tremores debilidade disartria,Esclerose Lateral
debilidade tremedeira fala lenta dor musculo fadiga,Esclerose Lateral
manchas na pele artralgia,Lúpus
artralgia cansaco sensibilidade luz palidez astenia,Lúpus
fotofobia temp alta erupção exaustão palido urticária,Lúpus
cansaco dores articulares rash,Lúpus
exaustão dor muscular sono ruim,Fibromialgia
dor musculo fraqueza dor articular cansaço alteração de humor sono ruim,Fibromialgia
fraqueza dores articulares dor musculo cansaço sono ruim,Fibromialgia
dores articulares rash fraqueza confusão,Doença de Lyme
hipertermia rash desorientação,Doença de Lyme
fraqueza cansaço dor muscular dores articulares sono ruim,Fibromialgia
tremor dor nos músculos rigidez muscular perda de reflexos,Esclerose Lateral
dor nas juntas fraqueza fadiga dores crônicas,Fibromialgia
fraqueza vista embaçada,Miastenia Gravis
temp alta exaustao manchas pele dor muscular confusao,Febre Maculosa
palido cansaco pressão baixa,Doença de Addison
tremor astenia fala arrastada,Esclerose Lateral
cansaco febre,Febre Maculosa
fotofobia fadiga urticária,Lúpus
fadiga dor articular febre dor muscular,Doença de Lyme
artralgia cansaço,Fibromialgia
cansaço perda de peso hipotensao palidez hiperpigmentação,Doença de Addison
fadiga febre sensibilidade luz dor articular sem cor alopecia,Lúpus
febr manchas pele exaustao,Doença de Lyme
exaustão febr tremedeira fraqueza,Febre Maculosa
visão turva exaustao dificuldade falar fraqueza dificuldade para engolir visão dupla,Miastenia Gravis
dor muscular artralgia sono ruim alteração de humor,Fibromialgia
fadiga temperatura manchas na pele desorientação fraqueza,Doença de Lyme
emagrecimento fadiga,Doença de Addison
tremedeira fraqueza fala arrastada rigidez muscular,Esclerose Lateral
fadiga temp alta,Doença de Crohn
fala arrastada debilidade tremor dor muscular perda de reflexos,Esclerose Lateral
dores articulares cansaço temperatura sensibilidade luz fraqueza,Lúpus
dor nas juntas manchas pele temperatura exaustão debilidade dor muscular,Doença de Lyme
dor articular sensibilidade à luz cansaco temperatura,Lúpus
dor articular fraqueza mialgia cansaco alteração de humor dores crônicas alteração de humor fraqueza,Fibromialgia
cansaço dificuldade falar visão turva fraqueza visão dupla,Miastenia Gravis
fadiga perda de peso dor abdominal febre fraqueza refluxo,Doença de Crohn
fadiga dor nas juntas debilidade sono ruim,Fibromialgia
fraqueza dor nos músculos cansaco perda de reflexos,Esclerose Lateral
dores articulares fadiga erupção febre,Doença de Lyme
fraqueza visão embaçada disartria cansaco dificuldade para engolir visão dupla,Miastenia Gravis
febre dores articulares manchas pele fadiga fraqueza desorientação,Doença de Lyme
dor muscular dor nas juntas alteração de humor sono ruim,Fibromialgia
exaustao confusao dor muscular dor nas juntas fraqueza,Febre Maculosa
fraqueza dor nos músculos alteração de humor dores crônicas,Fibromialgia
temperatura artralgia dor muscular fraqueza,Doença de Lyme
dor muscular fala lenta fraqueza tremor perda de reflexos exaustao,Esclerose Lateral
astenia dor nos músculos perda de reflexos fadiga,Esclerose Lateral
fala arrastada visão turva fadiga debilidade dificuldade para engolir visão dupla,Miastenia Gravis
dor musculo desorientação manchas pele cansaço,Febre Maculosa
fadiga pressao baixa peso baixo palidez sensação de frio,Doença de Addison
dores abdominais fadiga febre astenia,Doença de Crohn
perda peso exaustao febr fraqueza diarreia,Doença de Crohn
dores abdominais emagrecimento,Doença de Crohn
cansaco visão turva dificuldade falar fraqueza,Miastenia Gravis
exaustão temp alta peso baixo diarreia diarreia peso baixo,Doença de Crohn
dor nos músculos febre tremedeira fraqueza,Febre Maculosa
fala arrastada astenia visão turva fadiga,Miastenia Gravis
temp alta exaustão perda peso diarreia,Doença de Crohn
cansaço visao turva fala lenta visão dupla,Miastenia Gravis
dificuldade falar fraqueza vista embaçada dificuldade para engolir,Miastenia Gravis
fala lenta cansaco visão dupla dificuldade para engolir,Miastenia Gravis
astenia exaustão,Fibromialgia
exaustão dor musculo dores articulares astenia sono ruim dores crônicas,Fibromialgia
rash artralgia temperatura mialgia astenia,Doença de Lyme
dor musculo cansaço sono ruim dores crônicas,Fibromialgia
exaustão confusão dor musculo hipertermia tremores dores articulares,Febre Maculosa
manchas na pele dor articular alergia pele queda de cabelo,Lúpus
sensibilidade à luz artralgia urticaria fraqueza,Lúpus
fraqueza dores articulares fadiga dores crônicas sono ruim,Fibromialgia
dor estomago febre perda de peso fadiga diarreia,Doença de Crohn
hipotensão cansaco sem cor sensação de frio,Doença de Addison
peso baixo pressao baixa palido sensação de frio hiperpigmentação,Doença de Addison
dor muscular exaustao,Fibromialgia
pálido pressão baixa peso baixo fraqueza,Doença de Addison
tremores fala arrastada dor muscular fadiga,Esclerose Lateral
hipotensao palidez emagrecimento hiperpigmentação,Doença de Addison
dores articulares manchas na pele cansaço febre,Doença de Lyme
fala arrastada fraqueza dificuldade para engolir visão dupla,Miastenia Gravis
fala arrastada dor nos músculos tremores cansaço,Esclerose Lateral
visão turva fala arrastada fadiga dificuldade para engolir,Miastenia Gravis
perda de peso febr fadiga refluxo gastrico diarreia,Doença de Crohn
mialgia artralgia cansaco fraqueza sono ruim alteração de humor,Fibromialgia
confusão erupção artralgia,Febre Maculosa
dores abdominais emagrecimento,Doença de Crohn
fraqueza dor muscular alteração de humor,Fibromialgia
dor muscular cansaco,Fibromialgia
dor muscular fala lenta debilidade tremor cansaco perda de reflexos,Esclerose Lateral
hipotensão fadiga hiperpigmentação sensação de frio,Doença de Addison
fadiga dor muscular fraqueza artralgia dores crônicas dor muscular fraqueza,Fibromialgia
fadiga perda de peso palidez,Doença de Addison
fadiga dificuldade falar astenia dificuldade para engolir,Miastenia Gravis
dores abdominais febr refluxo,Doença de Crohn
dificuldade falar fraqueza tremores dor nos músculos perda de reflexos,Esclerose Lateral
fraqueza dor articular sono ruim,Fibromialgia
dor muscular fadiga dor nas juntas astenia alteração de humor dores crônicas,Fibromialgia
temp alta fadiga rash dor articular,Lúpus
tremor dificuldade falar dor muscular fraqueza rigidez muscular,Esclerose Lateral
dores articulares exaustão mialgia fraqueza dores crônicas sono ruim,Fibromialgia
manchas pele sensibilidade luz exaustão urticária palidez,Lúpus
temp alta perda de peso fadiga dor na barriga,Doença de Crohn
fraqueza visao turva fadiga dificuldade para engolir,Miastenia Gravis
astenia fadiga vista embaçada fala arrastada,Miastenia Gravis
visão embaçada debilidade dificuldade para engolir visão dupla,Miastenia Gravis
dores articulares manchas na pele febre,Doença de Lyme
cansaço manchas na pele febr dor nos músculos,Febre Maculosa
perda de peso febr fadiga debilidade diarreia,Doença de Crohn
pálido exaustao perda peso,Doença de Addison
dor articular erupção palido urticaria,Lúpus
febre dor estomago diarreia,Doença de Crohn
febre dores articulares fadiga rash fraqueza confusão,Doença de Lyme
hipertermia exaustao confusão dor muscular manchas na pele dores articulares,Febre Maculosa
manchas na pele febr artralgia fadiga dor muscular fraqueza artralgia fadiga,Doença de Lyme
febre dores articulares mialgia fraqueza,Doença de Lyme
febre dor nas juntas manchas na pele,Doença de Lyme
dor muscular manchas na pele,Febre Maculosa
visão turva cansaco dificuldade falar fraqueza,Miastenia Gravis
exaustao dores abdominais perda de peso debilidade diarreia,Doença de Crohn
visao turva exaustão debilidade visão dupla dificuldade para engolir,Miastenia Gravis
tremor dor muscular rigidez muscular,Esclerose Lateral
manchas na pele dores articulares debilidade,Doença de Lyme
perda de peso palidez cansaço pressão baixa fraqueza hiperpigmentação,Doença de Addison
dores abdominais cansaço febre emagrecimento refluxo diarreia,Doença de Crohn
erupção febre fadiga dor nas juntas sensibilidade à luz urticária,Lúpus
fraqueza tremores rigidez muscular,Esclerose Lateral
temp alta dores abdominais refluxo gastrico debilidade,Doença de Crohn
fadiga perda peso,Doença de Addison
tremores fala arrastada debilidade dor nos músculos perda de reflexos,Esclerose Lateral
dor muscular fala arrastada,Esclerose Lateral
dores articulares fadiga manchas na pele febre confusão dor nos músculos,Doença de Lyme
visão turva fadiga fala lenta astenia visão dupla dificuldade para engolir,Miastenia Gravis
manchas na pele temp alta dor articular fadiga urticaria palidez,Lúpus
fadiga disartria visão turva,Miastenia Gravis
dor nos músculos tremores fraqueza,Esclerose Lateral
dor muscular exaustão confusao manchas na pele temp alta dores articulares,Febre Maculosa
sensibilidade luz dor nas juntas exaustão temperatura calvície sem cor,Lúpus
fadiga manchas na pele dor muscular desorientação febre tremores,Febre Maculosa
fraqueza fala arrastada visão turva cansaço visão dupla dificuldade para engolir,Miastenia Gravis
cansaco hipertermia perda de peso diarreia,Doença de Crohn
fala arrastada fraqueza,Esclerose Lateral
astenia fala arrastada dor muscular perda de reflexos exaustao,Esclerose Lateral
dores articulares fraqueza cansaco dor muscular,Fibromialgia
febre perda peso refluxo gastrico,Doença de Crohn
perda de peso cansaço dor estomago febre fraqueza,Doença de Crohn
fraqueza dor nos músculos tremedeira fadiga,Esclerose Lateral
dor articular cansaco erupção temp alta,Doença de Lyme
mialgia febre manchas pele desorientacao,Febre Maculosa
cansaco visão turva,Miastenia Gravis
fadiga dores abdominais temperatura,Doença de Crohn
fraqueza mialgia sono ruim dores crônicas,Fibromialgia
debilidade fadiga,Fibromialgia
erupção fadiga,Febre Maculosa
dor nas juntas dor muscular alteração de humor dores crônicas,Fibromialgia
dores articulares fadiga febre astenia dor muscular,Doença de Lyme
dor nos músculos exaustão dor articular fraqueza,Fibromialgia
fadiga dor abdominal febre diarreia,Doença de Crohn
febre rash dores articulares cansaço cansaço dores articulares,Lúpus
temperatura cansaco debilidade,Doença de Lyme
temperatura perda de peso dor estomago fadiga,Doença de Crohn
pressão baixa sem cor perda de peso,Doença de Addison
confusão temp alta dor muscular fadiga rash dor nas juntas,Febre Maculosa
confusão manchas na pele mialgia hipertermia cansaço debilidade,Febre Maculosa
pressao baixa fadiga perda peso sensação de frio,Doença de Addison
febr manchas pele dor nas juntas fadiga,Doença de Lyme
fadiga febre dores articulares rash,Lúpus
perda de peso exaustao azia,Doença de Crohn
cansaço febre rash artralgia,Doença de Lyme
febr dores abdominais astenia diarreia,Doença de Crohn
disartria visão turva,Miastenia Gravis
dor estomago exaustao diarreia fraqueza,Doença de Crohn
perda de peso fadiga dores abdominais,Doença de Crohn
manchas pele dores articulares febre confusão,Doença de Lyme
dor nos músculos desorientacao astenia,Febre Maculosa
temp alta manchas na pele dor muscular desorientacao,Doença de Lyme
fadiga peso baixo hipotensão hiperpigmentação,Doença de Addison
febre erupção dores articulares fotofobia queda de cabelo,Lúpus
cansaço dor articular manchas pele confusao,Doença de Lyme
exaustao visão turva disartria debilidade visão dupla,Miastenia Gravis
dor muscular dor articular astenia dores crônicas sono ruim,Fibromialgia
fraqueza tremedeira rigidez muscular exaustao,Esclerose Lateral
pressão baixa palidez perda peso fadiga hiperpigmentação fraqueza,Doença de Addison
dor muscular temperatura fadiga tremores,Febre Maculosa
fraqueza visão embaçada exaustao fala arrastada,Miastenia Gravis
perda de peso pressão baixa hiperpigmentação sensação de frio,Doença de Addison
perda de peso exaustao temp alta,Doença de Crohn
dores abdominais temperatura fadiga azia astenia,Doença de Crohn
astenia fadiga fala arrastada visão turva dificuldade para engolir,Miastenia Gravis
fotofobia manchas na pele temperatura debilidade,Lúpus
dor nas juntas febre rash fadiga fraqueza,Doença de Lyme
fotofobia fadiga dor articular manchas na pele,Lúpus
visão embaçada disartria cansaço debilidade,Miastenia Gravis
dores articulares temperatura erupção cansaco,Doença de Lyme
mialgia desorientacao,Febre Maculosa
fraqueza disartria visao turva,Miastenia Gravis
fraqueza cansaço visão embaçada dificuldade para engolir visão dupla,Miastenia Gravis
fraqueza fala arrastada fadiga visão turva visão dupla dificuldade para engolir,Miastenia Gravis
desorientacao cansaço dor nos músculos temperatura tremor dor articular,Febre Maculosa
dor muscular cansaço manchas pele confusão febre fraqueza tremores,Febre Maculosa
disartria dor muscular fraqueza tremores perda de reflexos,Esclerose Lateral
fraqueza dor articular dores crônicas,Fibromialgia
hipotensão palidez perda peso,Doença de Addison
fraqueza dor muscular dor nas juntas alteração de humor,Fibromialgia
perda de peso febre debilidade diarreia,Doença de Crohn
palidez perda de peso hiperpigmentação,Doença de Addison
tremores fala lenta astenia,Esclerose Lateral
dor estomago exaustão diarreia,Doença de Crohn
febre dor estomago perda peso exaustao fraqueza,Doença de Crohn
tremores mialgia astenia fala arrastada,Esclerose Lateral
fotofobia temperatura cansaco erupção artralgia,Lúpus
fadiga disartria vista embaçada astenia dificuldade para engolir visão dupla vista embaçada fadiga,Miastenia Gravis
hipertermia manchas na pele cansaco fraqueza palidez,Lúpus
fadiga perda peso pálido hipotensao,Doença de Addison
disartria fraqueza fadiga visão turva,Miastenia Gravis
manchas pele febre,Doença de Lyme
exaustão fala arrastada astenia visão turva visão dupla,Miastenia Gravis
fala lenta dor muscular fraqueza perda de reflexos,Esclerose Lateral
fadiga manchas na pele dores articulares,Doença de Lyme
erupção cansaço confusao dor muscular,Doença de Lyme
dor nos músculos fraqueza fala lenta exaustao perda de reflexos,Esclerose Lateral
visao turva fala arrastada exaustão fraqueza,Miastenia Gravis
desorientacao dor nos músculos febre fadiga manchas pele astenia tremor,Febre Maculosa
manchas pele dor nas juntas confusão,Doença de Lyme
fotofobia temp alta manchas na pele fraqueza,Lúpus
exaustao febre perda peso dores abdominais azia,Doença de Crohn
visao turva fadiga dificuldade para engolir visão dupla,Miastenia Gravis
dificuldade falar tremores,Esclerose Lateral
dores articulares fraqueza dor nos músculos fadiga dores crônicas,Fibromialgia
astenia exaustão visao turva fala lenta dificuldade para engolir,Miastenia Gravis
dor articular hipertermia exaustão astenia confusão,Doença de Lyme
febr rash fadiga dor nos músculos desorientação,Doença de Lyme
exaustao dores articulares alteração de humor,Fibromialgia
dor muscular artralgia debilidade cansaco,Fibromialgia
exaustao temperatura fraqueza fraqueza exaustao,Lúpus
fadiga dor abdominal,Doença de Crohn
